Temperatura,Personas,Electrodomesticos,Consumo_kWh
21.192745920617458,3.0,12.0,46.74748060210897
21.22547207419806,5.0,15.0,
21.615469472416816,5.0,19.0,
20.8304813920253,1.0,7.0,30.381286848403825
21.014947475820396,2.0,13.0,48.92964058614138
22.618953750563723,,18.0,
22.074589905284864,2.0,10.0,42.71885878869338
17.51941989072624,1.0,12.0,38.55775663907215
28.302125290887584,1.0,,55.26172577729709
22.289798937655608,5.0,10.0,54.785610548825204
24.2940211592853,4.0,9.0,51.3625826437445
16.836937267331674,1.0,6.0,24.102820879910723
12.677587661690307,3.0,7.0,30.25335134427219
20.713490798870335,2.0,13.0,
24.96295491527061,2.0,16.0,
13.441208561618604,2.0,5.0,23.23121395740734
17.40340609067194,5.0,11.0,49.027283581436095
,4.0,5.0,37.09979159844506
27.544082689905323,5.0,6.0,47.86309370624943
32.76861283874062,2.0,13.0,55.838668889503154
19.601451658740807,4.0,5.0,35.57754346357968
26.761317875671068,2.0,9.0,46.86849842576023
23.950533828299037,2.0,20.0,62.06077402035951
17.355850993942127,5.0,10.0,47.83492701135673
26.947448516468544,4.0,13.0,65.90142085675083
25.208185373868226,3.0,12.0,51.38030423175002
22.881094041793666,4.0,20.0,65.65727701562673
20.75562599439269,4.0,12.0,43.679426905624794
21.56021770857134,3.0,5.0,36.028785825346596
28.963087195700542,3.0,13.0,49.355471663417546
27.360795636397416,5.0,14.0,61.50285959515637
31.143973932966656,4.0,13.0,61.68842319656292
23.742677142952097,1.0,6.0,32.37534911408654
29.70056106911234,4.0,18.0,70.78347951500503
17.226110094943447,3.0,19.0,57.07352651337792
27.138278899047386,4.0,14.0,59.91512211297327
32.847267292900085,4.0,13.0,58.855074078034555
23.919458407138926,1.0,20.0,53.74190965211364
21.471785856918565,4.0,15.0,
25.559309890025872,2.0,6.0,38.91429891643323
23.271570158642998,5.0,5.0,49.83244319074413
18.843879741994844,,17.0,62.50968874961619
15.718778595021941,4.0,16.0,51.475058301080175
29.644480864412387,1.0,13.0,46.33043711558002
15.268509292748213,1.0,16.0,42.67738032560795
21.86438629447179,4.0,18.0,57.54165454931344
24.299555901088638,2.0,6.0,31.63540758719508
19.148943807944356,4.0,7.0,44.534982992669356
21.459655450834568,2.0,8.0,40.70492776737532
17.37006472930485,2.0,14.0,46.85204257596986
24.019463007921118,1.0,19.0,55.747231250810046
21.871257198519675,2.0,18.0,52.079824075632175
26.84002861373979,2.0,19.0,70.02871282640326
17.90060132565567,3.0,,39.94906511673123
23.251019693382645,4.0,14.0,59.71055179702223
18.908272553158863,5.0,6.0,42.05270220656097
23.88428613870785,2.0,6.0,34.40842723373396
30.551152094139642,1.0,15.0,50.68019025910368
,3.0,17.0,58.77839054488352
19.225001005815738,2.0,,33.193029012908966
25.290300272884547,2.0,20.0,55.96123922860701
16.518707098052246,2.0,8.0,34.47274756080653
14.132560840520224,5.0,8.0,40.90741043775409
24.097256533247524,5.0,18.0,69.81239619102767
21.986747552903363,5.0,10.0,47.58091793392589
27.253561934450346,2.0,6.0,37.63182264508659
21.21683785423503,5.0,11.0,55.9090907967231
22.277475861794013,1.0,8.0,40.47219198842012
17.636434614154282,5.0,19.0,67.92984264426457
,4.0,17.0,60.76444226310239
21.325057164511065,4.0,8.0,44.278359937107126
22.96720242900837,5.0,15.0,60.35364630443689
24.7724399215708,3.0,10.0,48.84923765626979
22.462563983582502,1.0,5.0,30.98538000133135
17.036031634687937,4.0,18.0,60.99697059769503
21.89321265395156,3.0,5.0,34.54783510490859
12.589991210262435,,7.0,31.008975111042954
23.787407925333742,2.0,11.0,44.115759070880586
22.524384303399266,4.0,7.0,37.733792981187236
18.4867533555155,3.0,13.0,46.24876795415537
,3.0,20.0,68.3599065493231
18.989868461265104,1.0,17.0,52.96104868118067
27.525132339396688,1.0,13.0,51.1190426490702
16.210784327663802,4.0,12.0,48.57764769904432
27.95817141378152,3.0,9.0,51.5739629045134
15.254933772361523,3.0,8.0,35.47234648425688
-1.278053015292592,1.0,5.0,14.899913177186475
11.832053099810647,5.0,20.0,59.47835058216262
17.759275231196682,,13.0,38.35199197818204
20.449884842185796,1.0,6.0,23.642962012264682
18.468745343021002,2.0,5.0,32.583854709571064
22.12346087987885,,5.0,45.92343309750164
25.979710343805852,1.0,6.0,38.320466730693624
,5.0,5.0,42.64160243449851
30.435244321582957,5.0,14.0,64.69153692172438
20.81859068520248,1.0,19.0,53.73598281051595
26.085019833426784,5.0,6.0,47.82005887581202
19.604685166841097,,17.0,48.96302243185477
21.5520186002302,1.0,19.0,49.81267897813246
20.126064048231914,4.0,17.0,59.20909927104763
27.178311157193185,4.0,12.0,56.313853164065215
19.801012737965017,2.0,20.0,58.68871684003954
,4.0,16.0,57.48105035762119
11.646835959464632,2.0,5.0,21.945154759436658
19.1416087481985,2.0,11.0,45.48038552621893
23.473966332461636,1.0,15.0,44.2310095508229
20.810934659314583,5.0,15.0,57.00638704360727
21.110643056898123,5.0,16.0,63.58762554324271
8.86414334931685,4.0,12.0,43.73366216333361
19.01873513948486,1.0,16.0,41.62170178188271
27.957564012760006,5.0,15.0,63.88844219421042
,5.0,20.0,66.01649774176363
24.013413972390833,2.0,12.0,41.30378862753664
23.447075945124997,3.0,20.0,64.54725824657176
27.341528682406896,1.0,19.0,54.629114909640165
30.350036498879234,4.0,12.0,61.17819446627838
22.833348875389255,2.0,6.0,34.280687282976274
24.833451158279182,5.0,,64.18040739888373
16.813868694686953,1.0,11.0,34.63510469928094
26.06789581036798,3.0,11.0,49.38717371558111
23.272554343052423,3.0,17.0,62.09239718892255
,3.0,20.0,60.33477459892001
12.765626403696348,2.0,17.0,46.691971736769496
,1.0,15.0,48.235062690199996
21.13224384705348,5.0,13.0,64.83442433975316
33.02739280939308,4.0,9.0,50.44477771998167
39.336041465191514,5.0,8.0,61.86640531472567
21.414916325579437,3.0,10.0,43.73629850207871
19.788572296790335,2.0,10.0,41.06766327711907
19.393274946226693,2.0,11.0,41.81268264231616
22.026087004941637,4.0,10.0,54.78580512815609
19.188950930606342,4.0,14.0,52.739962195568886
33.34973087187244,2.0,16.0,60.766549782006244
25.651473964033055,4.0,13.0,54.4150965952292
11.682210012482699,1.0,13.0,38.31655245351364
22.150536286580145,5.0,7.0,46.476590894226135
29.863179139822446,1.0,6.0,38.39291784564072
19.4991726884372,5.0,13.0,
15.662141410272094,5.0,7.0,39.13967820448003
19.615104719590146,5.0,9.0,48.79344424219479
22.447926064884776,3.0,9.0,42.030237168966536
23.920195683126707,5.0,5.0,45.559604368491634
22.901468448408785,3.0,12.0,49.6528722653662
19.494700597866586,3.0,10.0,40.64692300718662
21.708509373017105,3.0,10.0,37.249722953357704
19.669418131248015,3.0,19.0,56.037138348037224
13.386476876816408,4.0,11.0,45.625465962879034
24.615643735374586,4.0,10.0,53.19906918414063
12.2807665113349,1.0,9.0,27.441709108529455
23.46105673112316,1.0,12.0,46.41424393090112
32.87700939136615,1.0,13.0,54.05865322138607
14.369491343254417,2.0,15.0,45.88471191016273
20.240591097819138,5.0,5.0,39.812673398346796
23.131971600894218,2.0,16.0,51.40754779967612
20.30437072962939,1.0,17.0,49.543723893927506
21.421768012844264,1.0,17.0,48.21453356517578
23.869733285538377,1.0,11.0,47.57690041107961
15.39013854642569,4.0,5.0,35.491398979957516
21.99224380371608,3.0,9.0,43.50263972919356
18.99021112748381,3.0,13.0,49.647882084394894
23.203944600961425,1.0,8.0,40.424007591838354
19.351498090847052,3.0,11.0,37.51994263869505
15.387865494350972,2.0,12.0,41.972090419339004
23.636309759352187,3.0,10.0,49.00857163312571
24.11731522962651,5.0,7.0,53.05535402658853
,3.0,8.0,34.63749838134606
29.69292777351616,1.0,17.0,53.4519729129057
24.104593802311367,2.0,10.0,
28.20173008431506,4.0,11.0,58.482811908050515
22.25971493068957,2.0,6.0,26.575454553982475
42.03306153553709,4.0,9.0,61.460467117608985
12.246942931605577,3.0,7.0,30.141042694423145
21.935920105281866,4.0,6.0,39.46923164512892
25.118491292889885,2.0,6.0,43.721820880607105
,,,
21.669143680333242,2.0,11.0,42.49123904040285
22.072149113853165,2.0,8.0,41.595733164170255
24.593259842023176,1.0,12.0,42.45880516522824
30.507293280277324,1.0,16.0,51.66958208219684
19.40678946152991,2.0,5.0,32.54034990434588
10.583681829527363,5.0,12.0,41.811871176077744
27.4674148155136,4.0,7.0,44.75615109528417
36.797227291625,3.0,18.0,69.2197043672268
13.332052452085957,5.0,17.0,62.206395067012544
24.174448428214333,3.0,20.0,66.8364675342804
26.916477558615888,4.0,20.0,71.15338852553936
25.528575527140898,4.0,19.0,69.598127591074
25.39551979948848,1.0,9.0,40.40281561971202
15.826825189525758,1.0,18.0,49.38454535311076
24.254546126199358,3.0,19.0,65.62391602206155
27.768989770788853,4.0,5.0,43.53717058850557
22.986061411865947,5.0,20.0,70.22462657107604
23.885350315004448,5.0,7.0,44.505635422211675
23.8001361464231,5.0,14.0,57.534777673214045
20.28305055636433,1.0,17.0,46.59609494400577
16.466027682170008,1.0,12.0,40.39390285666085
,4.0,6.0,43.02793812151341
17.084154464806527,2.0,14.0,45.72332114425824
24.77110013759126,1.0,5.0,37.67768416279788
19.69540702118829,2.0,10.0,41.47161079886057
,4.0,10.0,50.12532312251124
20.537737545242678,1.0,6.0,28.086747354351804
21.312288102614914,5.0,14.0,54.97120881627994
17.062635598788187,3.0,15.0,49.302760049868596
17.135877690876114,4.0,19.0,59.63437377084937
26.410296705713304,4.0,14.0,59.36437107225916
26.131101233223816,5.0,15.0,65.28040990905559
22.906890132624525,5.0,14.0,59.688877256156715
22.160676281544593,2.0,,57.92383650403086
22.68074841195506,4.0,16.0,60.44579264195714
32.528625580921386,3.0,7.0,50.558418726729386
21.631435664973473,5.0,19.0,63.052217806420394
23.31435010578495,1.0,10.0,45.70898555247592
26.406169105237296,3.0,17.0,63.578642056566025
23.925652137011422,2.0,9.0,37.59219683707376
28.708086895663488,4.0,18.0,66.05171621634221
15.143174411170804,3.0,14.0,46.714224071750365
22.961742973768978,5.0,11.0,
,2.0,16.0,49.42481548937822
27.919896330723923,2.0,9.0,45.594656673433136
24.383276813347628,1.0,8.0,36.130102671410796
24.246929367150834,5.0,6.0,46.45684053147906
17.831861998801834,,7.0,37.08752502366415
21.745450938141797,4.0,8.0,49.53119951885366
16.994987111971266,2.0,8.0,37.77581474370542
18.181652761048053,1.0,14.0,41.7304634340621
21.033779762993582,5.0,18.0,67.68336482819932
16.307463158776102,2.0,16.0,45.29040600526114
23.40987938774594,1.0,,40.57657931924399
18.211656414389942,3.0,13.0,44.99198594953522
27.2088596814311,1.0,,57.017426833464164
,4.0,15.0,54.94355426265202
20.103612535529365,5.0,10.0,54.73426500912549
,4.0,11.0,47.322788464793966
,2.0,15.0,53.71976251464462
19.91370342842273,2.0,8.0,38.69699539497749
15.689045356528721,3.0,17.0,49.89444715009953
21.852629568447504,5.0,11.0,49.47307224370064
21.390796173788537,3.0,8.0,
21.86643029061586,1.0,,
22.948872304102053,5.0,12.0,57.72264725264753
28.948819370544946,4.0,5.0,47.04211679530706
19.32968764570779,3.0,18.0,53.21763322738266
16.064053207072558,5.0,,47.87805641828635
24.690977332442767,3.0,7.0,42.655433545731114
26.08882103951904,5.0,13.0,59.41102245803267
23.542685755445575,3.0,5.0,40.53602086656454
,1.0,19.0,61.22043850661635
19.511451196587814,4.0,6.0,38.66088284718604
20.543383626227502,4.0,14.0,50.43013347602038
19.48777740612959,1.0,9.0,29.739253740189035
,2.0,17.0,60.2216158715061
18.065692499728016,3.0,15.0,42.063193282861974
28.220489522933907,1.0,16.0,52.41966725864856
23.84991693979619,3.0,11.0,53.28039284506503
18.916370784093548,1.0,,30.624328812724233
26.037253180155588,4.0,,69.50430951448996
22.43320665403681,4.0,7.0,42.66002846290506
20.265205553403252,2.0,9.0,41.27438705512485
18.830034043330496,,19.0,54.92454223163693
26.408294830439644,4.0,20.0,71.89414540902521
27.259559435352912,2.0,8.0,42.0273817365803
21.092007557413506,3.0,19.0,63.197116606917774
17.253819088684168,5.0,7.0,38.60261409387737
15.411788874082157,3.0,18.0,56.202329825258744
14.148314522962009,1.0,6.0,23.207981708599256
28.29435066155701,1.0,10.0,45.992219473855684
,4.0,11.0,50.08544077587309
15.910688736949357,5.0,14.0,55.19925489490158
25.764455577976193,5.0,8.0,49.63357990484396
23.14324561293001,1.0,9.0,37.969784591293326
14.87334815628802,3.0,14.0,47.64024886522028
19.509545059450225,2.0,11.0,41.8643091467725
,3.0,17.0,65.31497323757246
28.38066601251799,2.0,13.0,49.482335916342194
13.154298331389915,2.0,6.0,25.59242272556666
28.24263259645424,3.0,7.0,42.009413859462015
25.34612213133398,5.0,12.0,57.45565327914203
23.900703272048194,1.0,8.0,37.530918932843825
31.184852788583072,4.0,6.0,43.873724454743275
29.018066578103543,5.0,7.0,52.67922666360634
22.97900622915737,2.0,,39.319378556875144
17.96111604710509,5.0,20.0,66.41212865669158
12.788285922363244,3.0,16.0,51.60048369378353
19.38355198476039,2.0,16.0,54.37657228520813
20.84380133981361,5.0,14.0,58.89522414472381
31.96347989820847,4.0,14.0,67.25072236839718
14.148341891054388,3.0,11.0,45.10402565734444
15.272348936923601,2.0,10.0,37.78462491556353
22.080788139329645,4.0,11.0,48.66284132127841
14.045717152448017,3.0,7.0,
15.878624359148805,3.0,11.0,44.467008975242564
20.830287239069893,2.0,5.0,113.69650658526605
,1.0,6.0,27.73404473442621
23.232259471080283,3.0,8.0,47.11024253828324
20.360717659150726,2.0,17.0,52.51259252377245
12.727404166958795,2.0,14.0,40.42654453019458
25.796845141199633,5.0,9.0,
27.419232379256684,4.0,7.0,42.6406984960588
26.1154547851586,1.0,16.0,50.838252155810586
24.008217508009174,4.0,19.0,65.06699801999216
20.15370308933233,1.0,7.0,
26.51175646345827,2.0,15.0,56.338555997762334
19.770321024403223,1.0,18.0,52.41845172330683
21.643535978023507,5.0,12.0,
21.64933678402688,1.0,8.0,33.97924718074618
11.860277769350635,,18.0,53.32847291060853
17.73138585496945,2.0,14.0,48.62843715807144
19.88387694225705,2.0,12.0,42.23447749120377
27.93784532505686,5.0,8.0,
32.236950017832314,1.0,9.0,45.61244744601162
23.384012311477484,,7.0,34.63565118224139
19.40514380484874,4.0,9.0,43.97744368779174
19.385200503483144,1.0,18.0,51.30418919062168
22.423461850856427,4.0,18.0,60.26978237586677
18.98151183133393,2.0,15.0,50.47094688626407
23.770245970674768,2.0,8.0,39.15773049717141
24.994931168713297,1.0,12.0,43.432387910423955
20.94370068768915,3.0,17.0,59.4778269567544
18.66595416361575,3.0,16.0,51.1936036391546
24.11835289110763,2.0,14.0,49.50930445634927
17.030232154898016,4.0,5.0,33.03909851332374
20.597615880669238,2.0,20.0,61.79129711349236
15.619350837580834,2.0,18.0,53.96291168217008
29.07101757160318,2.0,6.0,41.26578187659025
,3.0,11.0,47.56500325593383
13.386591296843699,4.0,13.0,49.570762154757986
19.974401593688903,5.0,19.0,66.58939264442604
26.44829503273306,5.0,17.0,68.75338675469347
21.586377669574226,,20.0,57.04187960229326
21.26631384153411,3.0,15.0,53.25110931480339
7.737655305387769,1.0,16.0,33.14737369442811
25.850804988537305,4.0,15.0,64.12111991787243
,3.0,,53.85267556527274
,5.0,7.0,43.842460950134004
17.462993649347496,3.0,8.0,
24.752799150730667,2.0,7.0,41.59729722156939
25.622383361303253,3.0,5.0,
25.305687550593085,2.0,8.0,43.77177591725676
23.583469564841344,5.0,20.0,73.58474061111508
22.714522492864315,3.0,17.0,58.725547386688284
20.681505889691774,3.0,11.0,46.00499796336683
20.16065572202463,,8.0,45.11433156560602
21.272213875966173,2.0,10.0,41.47363215764905
,2.0,9.0,35.219430038921445
25.425168052292573,2.0,12.0,47.0818373124995
12.476679132006115,1.0,7.0,28.004904843262565
20.614930950468203,3.0,5.0,32.837553465513054
27.29344900767685,,,60.876679208513224
15.584392859715072,2.0,11.0,32.285596519270975
24.71719375194844,1.0,13.0,47.37613650378199
23.33133722667135,1.0,7.0,34.97931934733216
19.304590829405345,3.0,7.0,36.32229524431885
22.71783124120646,5.0,14.0,58.62737973807558
25.867368068954825,2.0,20.0,63.92071749863619
27.1502480618303,2.0,7.0,44.3844674759137
21.691659732926542,2.0,13.0,49.3043847889101
,3.0,7.0,40.92616852283774
22.630839064472386,4.0,12.0,52.531168827674655
23.077765154236328,5.0,15.0,160.26117041273437
17.60052030862131,5.0,8.0,47.93425007904681
23.589743123911326,2.0,14.0,49.209640885124955
18.215803331504485,5.0,18.0,67.62613333459839
19.508796557054243,,20.0,64.07903031691214
26.558544167630032,5.0,6.0,46.56228807553748
15.731226224277222,4.0,18.0,52.215012802837414
14.737230949069055,1.0,20.0,53.05959304723175
19.86785276016827,4.0,7.0,37.017834014450514
22.67250326396362,3.0,8.0,43.100175406858106
14.55442441295845,5.0,19.0,54.812701437112814
22.520652272766803,2.0,13.0,48.71695876378696
23.72262037533289,3.0,18.0,61.807597893249124
21.500390790531238,3.0,12.0,49.33642807805376
23.321606037218924,5.0,,64.43641136127597
24.391970511526928,2.0,6.0,35.094869700234135
29.070226116806314,5.0,16.0,68.59062620102257
29.217813289107795,1.0,5.0,38.65247809031952
18.133262736086365,5.0,6.0,38.81411188044905
29.91083655129801,1.0,5.0,41.69318134574549
28.634207806600408,4.0,8.0,53.97933229728297
25.548937833857227,4.0,5.0,40.775676831403146
24.79977414824955,2.0,5.0,43.4791800329907
26.301319717447644,4.0,9.0,42.86423276105936
23.579468992887392,5.0,17.0,65.877868977794
21.50443394003625,4.0,18.0,55.88097690727636
23.41397673658905,5.0,14.0,60.522746507339086
34.49802772144288,2.0,10.0,49.31491550688318
19.24313286054561,1.0,17.0,48.7553063613802
24.38947133476723,1.0,17.0,51.83341358568171
17.558912929827322,3.0,6.0,36.481729022810335
26.005619042987718,4.0,16.0,65.60059040617563
29.06631002106818,4.0,6.0,47.485717991541186
13.903909088966017,5.0,5.0,33.90347619452754
31.333491674176805,,19.0,69.1828575463999
18.05048838368599,5.0,7.0,40.8347286005437
25.033458380410146,1.0,11.0,42.656077230116566
24.959563234467407,4.0,11.0,55.07580853782182
15.586596882951305,5.0,18.0,65.0582056049558
24.909834552961325,2.0,18.0,57.896899068887876
21.312921667030324,5.0,,60.02257239422936
17.42977324739574,,13.0,36.95905389173942
25.841320892652707,1.0,17.0,53.10719276031567
23.07621520707133,3.0,17.0,58.43213042802968
25.449156238209483,3.0,12.0,49.55072531993931
16.033665822890956,1.0,20.0,52.793504106054016
13.44099814652607,1.0,20.0,48.79195596292809
22.070534475293485,5.0,20.0,66.08118139634655
18.24159386942489,5.0,9.0,45.235422023724226
15.700126497029785,4.0,14.0,52.346928032619616
23.186184955698828,1.0,11.0,38.39627414618225
14.711554403759065,1.0,5.0,29.04463972248749
27.64559611081123,4.0,19.0,68.04646843964832
24.241378611410862,4.0,6.0,
15.353991003669016,3.0,14.0,
20.646780275697015,4.0,14.0,51.41813113349171
,,19.0,66.61469897103906
21.83702192907178,5.0,12.0,55.535935378604584
17.94020959784648,4.0,18.0,59.50605319103182
17.54943049693329,2.0,9.0,30.1631379268576
27.154804355190016,1.0,5.0,
21.387228523955304,1.0,8.0,32.6102849822856
28.310490926777682,3.0,16.0,60.74029655630046
31.26248182642663,1.0,5.0,37.792994376083584
29.49302433430149,2.0,11.0,41.48738789570332
20.141916338630068,2.0,8.0,34.24528434746527
14.56394324676392,4.0,18.0,52.38688533551962
,4.0,9.0,54.69344842321013
18.079090496249663,4.0,17.0,59.86567465118123
21.642581906281915,4.0,7.0,48.21015454569351
18.12451013563774,2.0,,51.19099096723012
30.979377651423476,2.0,19.0,
21.423338851660404,3.0,20.0,60.23144161146203
13.844318328775996,2.0,12.0,
22.753240675238683,3.0,8.0,43.36227366615204
16.378978439860376,2.0,18.0,55.07506630067544
23.11042689033026,5.0,7.0,53.5183354497501
32.89765614071851,3.0,20.0,71.3632566060546
20.81895363556041,2.0,9.0,30.5863188957602
22.770809452652685,5.0,19.0,72.36668754326571
17.27592246043658,3.0,10.0,42.857292634784265
29.02210157200512,4.0,14.0,
26.387479848519686,3.0,14.0,60.81413363437215
18.589643369647117,1.0,6.0,29.82873381483489
23.22250859955631,3.0,5.0,37.718775060064615
24.674297489147694,5.0,12.0,64.57718123944206
20.94586235160403,3.0,12.0,43.98689694020212
23.04626424326166,3.0,5.0,36.75838855066481
31.662909516080965,1.0,13.0,
20.02116280346762,2.0,15.0,49.70673021733208
21.58354001836477,3.0,13.0,52.27494032272132
22.823206898421397,1.0,17.0,46.86496552134728
25.96031293002231,,12.0,43.90777457516278
23.721723007562137,5.0,11.0,55.123327809170625
24.915395818046854,4.0,9.0,52.572038774714514
25.006643062873767,5.0,19.0,66.77730414739226
32.279226906360314,1.0,8.0,44.04545299556585
25.05584444038505,1.0,15.0,45.506033790965105
17.858019757299285,3.0,7.0,38.42346811427779
22.154959563440286,5.0,6.0,40.717597457919126
23.798147431646075,3.0,11.0,50.26765514412931
,,,54.13346921263087
25.772486083280675,,11.0,48.20550571333037
25.22993856593514,1.0,13.0,49.44159571612329
20.987546685977158,1.0,13.0,44.6449817017584
29.389592604726307,1.0,6.0,38.53002361452062
20.35097284869918,1.0,18.0,53.544489691455546
24.407968373041953,4.0,,43.11667328294912
25.227968726074145,1.0,7.0,35.06635787400624
17.214839401422452,3.0,20.0,139.53455070141104
23.271104519440932,2.0,12.0,44.933212307585805
18.864417833922047,3.0,,33.57228045510933
23.863789022678418,5.0,20.0,73.99260330008624
20.250956311113992,2.0,7.0,33.89042167556717
28.01440871637175,1.0,,53.87356829588163
23.94154743947673,2.0,12.0,47.103789346123015
25.832069187828285,4.0,,54.81717963225855
18.455456796040757,2.0,,31.365167000411986
14.110630794392367,1.0,11.0,33.82774908648879
20.728547270713815,4.0,6.0,40.25718330876325
22.707184412023672,2.0,11.0,46.32595545713261
28.229713051617317,4.0,19.0,68.71720765707857
26.45814806814849,4.0,8.0,49.78773244972062
18.836613117583717,3.0,18.0,60.3137780676842
21.607389095552744,5.0,19.0,71.00550349811535
21.743104898636805,3.0,14.0,49.93238866786578
21.969114628469132,2.0,15.0,54.41689868351663
25.430882478693494,2.0,20.0,60.68662423410903
20.174946301645342,4.0,12.0,51.81454102203391
18.373709667786514,3.0,13.0,44.954998194038026
24.83606584250868,3.0,12.0,51.8004392291624
19.677080953665076,5.0,19.0,64.86188952588245
16.10414948909363,2.0,17.0,52.03193527967239
30.41623521013763,5.0,7.0,60.37921141755542
17.28545471493014,3.0,11.0,46.45131399281864
,5.0,11.0,58.52988357716894
20.690664610634357,3.0,8.0,37.91452666049695
29.17301693474208,1.0,20.0,56.561109994066264
15.96844227071736,5.0,7.0,42.07033873248499
29.772705815061776,3.0,10.0,53.725011926881734
26.85772938476049,1.0,10.0,45.39550235464668
18.822370549212753,3.0,19.0,55.799335212742484
17.13382336150518,1.0,20.0,54.497109590891185
,2.0,17.0,56.19787584476107
22.634967551446636,1.0,15.0,50.46554732722831
19.751692728749482,5.0,6.0,44.98444074755491
24.527613401753225,4.0,19.0,65.94946316885807
25.07716275670699,5.0,19.0,71.97384582288659
16.85896835314042,2.0,18.0,49.963554602552335
27.67748810503901,4.0,9.0,49.177289954980616
30.815915367034478,4.0,8.0,51.678443957895645
20.39875778599157,1.0,7.0,34.32881524707872
23.07498190285439,5.0,16.0,66.47083634104264
12.874373607246278,2.0,12.0,35.53163608393941
23.56146458565873,4.0,11.0,49.55905136548978
14.852426380264957,1.0,15.0,33.518163591520754
26.614517400782397,1.0,15.0,51.24887043176563
30.913004899121802,5.0,7.0,55.04246815853909
23.62070647201538,4.0,14.0,56.06297277538142
21.236058398684644,2.0,10.0,39.6906084215291
13.667944751635696,,15.0,47.168513256674316
16.584270418747096,5.0,12.0,46.23885485596848
16.334983224491044,5.0,13.0,52.8895910824695
